"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"LabReport","LabReport","","","",0,*,"","","","null {[]} {[]}
","Laboratory Result Content","Laboratory Report Content as defined by the MyHealth@EU business requirement '13.01 Create the MyHealth@EU Laboratory Result Report Content'.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"LabReport.header","LabReport.header","","","",1,1,"","","","BackboneElement {[]} {[]}
","Report header","Report header","","","","","","","","","",,,,,"",,,,"LabReport.header",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LabReport.header.id","LabReport.header.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LabReport.header.extension","LabReport.header.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LabReport.header.modifierExtension","LabReport.header.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LabReport.header.subject","LabReport.header.subject","","","",1,1,"","","","http://fhir.ehdsi.eu/laboratory/StructureDefinition/Subject {[]} {[]}
","Patient/subject","Identification of the patient/subject  and Patient/subject related contact information","","","","","","","","","",,,,,"",,,,"LabReport.header.subject",1,1,"",""
"LabReport.header.payer","LabReport.header.payer","","","",0,1,"","","","http://fhir.ehdsi.eu/laboratory/StructureDefinition/Payer {[]} {[]}
","Health insurance and payment information","Health insurance information is not always required, however, in some jurisdictions, the insurance number is also used as the patient identifier. It is necessary not just for identification but also forms access to funding for care.","","","","","","","","","",,,,,"",,,,"LabReport.header.payer",0,1,"",""
"LabReport.header.informationRecipient","LabReport.header.informationRecipient","","","",0,*,"","","","http://fhir.ehdsi.eu/laboratory/StructureDefinition/Recipient {[]} {[]}
","Information recipient","Intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist","","","","","","","","","",,,,,"",,,,"LabReport.header.informationRecipient",0,*,"",""
"LabReport.header.author","LabReport.header.author","","","",1,*,"","","","http://fhir.ehdsi.eu/laboratory/StructureDefinition/Author {[]} {[]}
","Author","By whom the Laboratory result report or a subset of its results was authored","","","","","","","","","",,,,,"",,,,"LabReport.header.author",1,*,"",""
"LabReport.header.legalAuthenticator","LabReport.header.legalAuthenticator","","","",1,*,"","","","http://fhir.ehdsi.eu/laboratory/StructureDefinition/LegalAuthenticator {[]} {[]}
","Legal authenticator","The person taking responsibility for the medical content of the document","","","","","","","","","",,,,,"",,,,"LabReport.header.legalAuthenticator",1,*,"",""
"LabReport.header.validator","LabReport.header.validator","","","",0,*,"","","","http://fhir.ehdsi.eu/laboratory/StructureDefinition/Validator {[]} {[]}
","Result validator","Result validator","","","","","","","","","",,,,,"",,,,"LabReport.header.validator",0,*,"",""
"LabReport.header.metadata","LabReport.header.metadata","","","",1,1,"","","","BackboneElement {[]} {[]}
","Laboratory report metadata","Laboratory report metadata","","","","","","","","","",,,,,"",,,,"LabReport.header.metadata",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LabReport.header.metadata.id","LabReport.header.metadata.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LabReport.header.metadata.extension","LabReport.header.metadata.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LabReport.header.metadata.modifierExtension","LabReport.header.metadata.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LabReport.header.metadata.documentId","LabReport.header.metadata.documentId","","","",1,1,"","","","Identifier {[]} {[]}
","Document Id","Unique identifier of the document","","","","","","","","","",,,,,"",,,,"LabReport.header.metadata.documentId",1,1,"",""
"LabReport.header.metadata.type","LabReport.header.metadata.type","","","",1,*,"","","","CodeableConcept {[]} {[]}
","Document type","A coded type of the document. Fixed value 'Laboratory report'","","","","","","","","","",,,,,"",,,,"LabReport.header.metadata.type",1,*,"",""
"LabReport.header.metadata.status","LabReport.header.metadata.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Document status","The status of the laboratory test result report. E.g., preliminary, final","","","","","","","","","",,,,,"",,,,"LabReport.header.metadata.status",1,1,"",""
"LabReport.header.metadata.dateTime","LabReport.header.metadata.dateTime","","","",0,1,"","","","dateTime {[]} {[]}
","Report date and time","Date and time of the result report creation","","","","","","","","","",,,,,"",,,,"LabReport.header.metadata.dateTime",0,1,"",""
"LabReport.header.metadata.title","LabReport.header.metadata.title","","","",1,1,"","","","string {[]} {[]}
","Document title","Document title, e.g. 'Laboratory Result report'","","","","","","","","","",,,,,"",,,,"LabReport.header.metadata.title",1,1,"",""
"LabReport.header.metadata.studyType","LabReport.header.metadata.studyType","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Study type","Type (or types) of the laboratory study performed.","","","","","","","","","",,,,,"",,,,"LabReport.header.metadata.studyType",0,*,"",""
"LabReport.header.metadata.custodian","LabReport.header.metadata.custodian","","","",0,1,"","","","BackboneElement {[]} {[]}
","Report custodian","Organization that is in charge of maintaining the laboratory report","","","","","","","","","",,,,,"",,,,"LabReport.header.metadata.custodian",0,1,"",""
"LabReport.header.metadata.confidentiality","LabReport.header.metadata.confidentiality","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Confidentiality","Level of confidentiality of the document. Implicit value is normal.","","","","","","","","","",,,,,"",,,,"LabReport.header.metadata.confidentiality",0,1,"",""
"LabReport.header.metadata.language","LabReport.header.metadata.language","","","",1,*,"","","","CodeableConcept {[]} {[]}
","Language","Language in which the document is written. Language is expressed by the ISO language code.","","","","","","","","","",,,,,"",,,,"LabReport.header.metadata.language",1,*,"",""
